,precision,recall,f1-score,support
Kabutops,1.0,0.9090909090909091,0.9523809523809523,11.0
Kadabra,0.6363636363636364,0.7777777777777778,0.7,9.0
Kakuna,1.0,1.0,1.0,12.0
Kangaskhan,0.8333333333333334,0.9090909090909091,0.8695652173913043,11.0
Kingler,0.8,0.8888888888888888,0.8421052631578947,9.0
Koffing,1.0,0.7777777777777778,0.875,9.0
Krabby,0.8571428571428571,0.8571428571428571,0.8571428571428571,14.0
Lapras,1.0,0.9,0.9473684210526315,10.0
Lickitung,1.0,1.0,1.0,10.0
Machamp,0.6,1.0,0.75,6.0
Machoke,1.0,0.7777777777777778,0.875,9.0
Machop,1.0,0.875,0.9333333333333333,8.0
Magikarp,1.0,1.0,1.0,11.0
Magmar,0.8,1.0,0.8888888888888888,8.0
Magnemite,0.9090909090909091,0.9090909090909091,0.9090909090909091,11.0
Magneton,0.8333333333333334,1.0,0.9090909090909091,10.0
Mankey,1.0,0.8888888888888888,0.9411764705882353,9.0
Marowak,0.75,0.75,0.75,4.0
Meowth,1.0,1.0,1.0,6.0
Metapod,1.0,1.0,1.0,6.0
Mew,1.0,0.6666666666666666,0.8,6.0
Mewtwo,0.9090909090909091,1.0,0.9523809523809523,10.0
Moltres,0.8181818181818182,1.0,0.9,9.0
MrMime,1.0,1.0,1.0,12.0
Muk,0.8333333333333334,1.0,0.9090909090909091,10.0
Nidoking,1.0,0.8888888888888888,0.9411764705882353,9.0
Nidoqueen,1.0,0.8333333333333334,0.9090909090909091,12.0
Nidorina,1.0,1.0,1.0,10.0
Nidorino,1.0,1.0,1.0,14.0
Ninetales,0.875,1.0,0.9333333333333333,7.0
Oddish,1.0,1.0,1.0,14.0
Omanyte,1.0,1.0,1.0,12.0
Omastar,1.0,1.0,1.0,7.0
Onix,0.7777777777777778,1.0,0.875,7.0
Paras,0.7777777777777778,1.0,0.875,7.0
Parasect,1.0,0.6,0.75,5.0
Persian,1.0,1.0,1.0,6.0
Pidgeot,0.8,0.8,0.8,5.0
Pidgeotto,0.25,0.5,0.3333333333333333,2.0
Pidgey,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
Pikachu,1.0,1.0,1.0,6.0
Pinsir,1.0,1.0,1.0,8.0
Poliwag,1.0,1.0,1.0,8.0
Poliwhirl,1.0,0.9,0.9473684210526315,10.0
Poliwrath,0.875,1.0,0.9333333333333333,7.0
Ponyta,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
Porygon,1.0,1.0,1.0,19.0
Primeape,0.9411764705882353,1.0,0.9696969696969697,16.0
Psyduck,1.0,1.0,1.0,11.0
Raichu,0.8666666666666667,1.0,0.9285714285714286,13.0
Rapidash,1.0,0.8,0.8888888888888888,10.0
Raticate,1.0,0.75,0.8571428571428571,4.0
Rattata,1.0,0.9230769230769231,0.96,13.0
Rhydon,0.42857142857142855,1.0,0.6,3.0
Rhyhorn,1.0,1.0,1.0,8.0
Sandshrew,1.0,1.0,1.0,13.0
Sandslash,1.0,1.0,1.0,8.0
Scyther,1.0,1.0,1.0,9.0
Seadra,0.9285714285714286,0.8666666666666667,0.896551724137931,15.0
Seaking,1.0,0.8571428571428571,0.9230769230769231,7.0
Seel,0.875,0.7777777777777778,0.8235294117647058,9.0
Shellder,1.0,1.0,1.0,12.0
Slowbro,1.0,0.9,0.9473684210526315,10.0
Slowpoke,0.8,1.0,0.8888888888888888,4.0
Snorlax,1.0,0.8461538461538461,0.9166666666666666,13.0
Spearow,1.0,0.8571428571428571,0.9230769230769231,14.0
Squirtle,1.0,1.0,1.0,3.0
Starmie,1.0,0.875,0.9333333333333333,8.0
Staryu,1.0,1.0,1.0,4.0
Tangela,1.0,1.0,1.0,12.0
Tauros,1.0,0.7777777777777778,0.875,9.0
Tentacool,1.0,1.0,1.0,9.0
Tentacruel,1.0,1.0,1.0,11.0
Vaporeon,1.0,1.0,1.0,6.0
Venomoth,1.0,1.0,1.0,11.0
Venonat,0.9285714285714286,1.0,0.9629629629629629,13.0
Venusaur,0.9375,0.9375,0.9375,16.0
Victreebel,1.0,0.8333333333333334,0.9090909090909091,12.0
Vileplume,0.8888888888888888,1.0,0.9411764705882353,16.0
Voltorb,1.0,1.0,1.0,8.0
Vulpix,0.75,0.75,0.75,4.0
Wartortle,1.0,0.9285714285714286,0.9629629629629629,14.0
Weedle,1.0,0.9,0.9473684210526315,10.0
Weepinbell,1.0,1.0,1.0,12.0
Weezing,0.8571428571428571,1.0,0.9230769230769231,6.0
Wigglytuff,1.0,1.0,1.0,10.0
Zapdos,1.0,1.0,1.0,13.0
Zubat,1.0,1.0,1.0,5.0
accuracy,0.9384164222873901,0.9384164222873901,0.9384164222873901,0.9384164222873901
macro avg,0.9345531793914146,0.9330153827653828,0.9288809988346918,1364.0
weighted avg,0.9478316145309847,0.9384164222873901,0.939601900682196,1364.0
